12278625,JE123408,2021-01-26 12:00:00.000000 UTC,078XX S EMERALD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,621,6,17,71,08B,1172662.0,1852835.0,2021,2021-02-02 03:48:32.000000 UTC,41.751613575,-87.642845608,"(41.751613575, -87.642845608)"
12572249,JE483034,2021-12-19 02:00:00.000000 UTC,060XX N WOLCOTT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2413,24,40,2,08B,1162652.0,1940052.0,2021,2021-12-26 03:50:17.000000 UTC,41.991159486,-87.677084137,"(41.991159486, -87.677084137)"
12320561,JE175543,2021-03-21 12:00:00.000000 UTC,030XX W ARTHINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,1134,11,28,27,08B,1156181.0,1895882.0,2021,2021-05-05 04:49:32.000000 UTC,41.870087324,-87.702082367,"(41.870087324, -87.702082367)"
12266275,JE109111,2021-01-10 06:13:00.000000 UTC,002XX E 78TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,623,6,6,69,08B,1179067.0,1853343.0,2021,2021-01-17 03:49:56.000000 UTC,41.752864132,-87.619358999,"(41.752864132, -87.619358999)"
12308383,JE160675,2021-03-06 08:15:00.000000 UTC,006XX E 76TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,624,6,6,69,08B,1181978.0,1854765.0,2021,2021-03-13 03:51:08.000000 UTC,41.756699466,-87.608647554,"(41.756699466, -87.608647554)"
12319111,JE173705,2021-03-19 03:00:00.000000 UTC,076XX S DREXEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,624,6,8,69,08B,1183553.0,1854644.0,2021,2021-04-06 05:00:41.000000 UTC,41.756330877,-87.602879293,"(41.756330877, -87.602879293)"
12439856,JE321720,2021-08-01 02:20:00.000000 UTC,004XX E SOUTH WATER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,true,true,114,1,42,32,08B,1179256.0,1902052.0,2021,2021-08-08 04:58:20.000000 UTC,41.88652124,-87.617178654,"(41.88652124, -87.617178654)"
12328565,JE184996,2021-03-30 10:00:00.000000 UTC,076XX N GREENVIEW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2422,24,49,1,08B,1164973.0,1950655.0,2021,2021-04-06 05:03:58.000000 UTC,42.020205212,-87.66824395,"(42.020205212, -87.66824395)"
12495697,JE389749,2021-09-27 11:26:00.000000 UTC,026XX S INDIANA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,133,1,4,35,08B,1178035.0,1886949.0,2021,2021-10-04 04:50:46.000000 UTC,41.845105566,-87.622121892,"(41.845105566, -87.622121892)"
12264990,JE107575,2021-01-09 02:53:00.000000 UTC,032XX W EVERGREEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,1422,14,26,23,08B,1154506.0,1908796.0,2021,2021-01-16 03:52:53.000000 UTC,41.905558247,-87.707886268,"(41.905558247, -87.707886268)"
